ligand	receptor
Tgfb1	TGFbR1_R2
Tgfb2	TGFbR1_R2
Tgfb3	TGFbR1_R2
Tgfb1	ACVR1B_TGFbR2
Tgfb1	ACVR1C_TGFbR2
Tgfb2	ACVR1B_TGFbR2
Tgfb2	ACVR1C_TGFbR2
Tgfb3	ACVR1B_TGFbR2
Tgfb3	ACVR1C_TGFbR2
Tgfb1	ACVR1_TGFbR
Tgfb2	ACVR1_TGFbR
Tgfb3	ACVR1_TGFbR
Bmp2	BMPR1A_ACVR2A
Bmp2	BMPR1A_ACVR2B
Bmp2	BMPR1A_BMPR2
Bmp2	BMPR1B_ACVR2A
Bmp2	BMPR1B_ACVR2B
Bmp2	BMPR1B_BMPR2
Bmp4	BMPR1A_ACVR2A
Bmp4	BMPR1A_ACVR2B
Bmp4	BMPR1A_BMPR2
Bmp4	BMPR1B_ACVR2A
Bmp4	BMPR1B_ACVR2B
Bmp4	BMPR1B_BMPR2
Gdf5	BMPR1A_ACVR2A
Gdf5	BMPR1A_ACVR2B
Gdf5	BMPR1A_BMPR2
Gdf5	BMPR1B_ACVR2A
Gdf5	BMPR1B_ACVR2B
Gdf5	BMPR1B_BMPR2
Gdf6	BMPR1A_ACVR2A
Gdf6	BMPR1A_ACVR2B
Gdf6	BMPR1A_BMPR2
Gdf6	BMPR1B_ACVR2A
Gdf6	BMPR1B_ACVR2B
Gdf6	BMPR1B_BMPR2
Gdf7	BMPR1A_ACVR2A
Gdf7	BMPR1A_ACVR2B
Gdf7	BMPR1A_BMPR2
Gdf7	BMPR1B_ACVR2A
Gdf7	BMPR1B_ACVR2B
Gdf7	BMPR1B_BMPR2
Bmp15	BMPR1B_BMPR2
Bmp5	ACVR1_ACVR2A
Bmp5	ACVR1_ACVR2B
Bmp5	ACVR1_BMPR2
Bmp5	BMPR1A_ACVR2A
Bmp5	BMPR1A_ACVR2B
Bmp5	BMPR1A_BMPR2
Bmp5	BMPR1B_ACVR2A
Bmp5	BMPR1B_ACVR2B
Bmp5	BMPR1B_BMPR2
Bmp6	ACVR1_ACVR2A
Bmp6	ACVR1_ACVR2B
Bmp6	ACVR1_BMPR2
Bmp6	BMPR1A_ACVR2A
Bmp6	BMPR1A_ACVR2B
Bmp6	BMPR1A_BMPR2
Bmp6	BMPR1B_ACVR2A
Bmp6	BMPR1B_ACVR2B
Bmp6	BMPR1B_BMPR2
Bmp7	ACVR1_ACVR2A
Bmp7	ACVR1_ACVR2B
Bmp7	ACVR1_BMPR2
Bmp7	BMPR1A_ACVR2A
Bmp7	BMPR1A_ACVR2B
Bmp7	BMPR1A_BMPR2
Bmp7	BMPR1B_ACVR2A
Bmp7	BMPR1B_ACVR2B
Bmp7	BMPR1B_BMPR2
Bmp8a	ACVR1_ACVR2A
Bmp8a	ACVR1_ACVR2B
Bmp8a	ACVR1_BMPR2
Bmp8a	BMPR1A_ACVR2A
Bmp8a	BMPR1A_ACVR2B
Bmp8a	BMPR1A_BMPR2
Bmp8a	BMPR1B_ACVR2A
Bmp8a	BMPR1B_ACVR2B
Bmp8a	BMPR1B_BMPR2
Bmp8b	ACVR1_ACVR2A
Bmp8b	ACVR1_ACVR2B
Bmp8b	ACVR1_BMPR2
Bmp8b	BMPR1A_ACVR2A
Bmp8b	BMPR1A_ACVR2B
Bmp8b	BMPR1A_BMPR2
Bmp8b	BMPR1B_ACVR2A
Bmp8b	BMPR1B_ACVR2B
Bmp8b	BMPR1B_BMPR2
Bmp10	ACVRL1_BMPR2
Bmp10	ACVRL1_ACVR2A
Gdf2	ACVRL1_BMPR2
Gdf2	ACVRL1_ACVR2A
Gdf9	ACVR1B_BMPR2
Gdf10	ACVR1B_ACVR2A
Gdf11	TGFBR1_ACVR2A
Gdf11	TGFBR1_ACVR2B
Gdf11	ACVR1B_ACVR2B
Gdf15	Tgfbr2
Mstn	TGFBR1_ACVR2B
Mstn	ACVR1B_ACVR2B
Mstn	ACVR1B_ACVR2A
Mstn	TGFBR1_ACVR2A
Amh	AMHR2_ACVR1
Amh	AMHR2_BMPR1A
Gdnf	GFRA1_RET
Nrtn	GFRA2_RET
Artn	GFRA3_RET
Pspn	GFRA4_RET
Artn	GFRA1_RET
Nodal	ACVR1B_ACVR2A_CFC1
Nodal	ACVR1C_ACVR2A_CFC1
Nodal	ACVR1B_ACVR2B_CFC1
Nodal	ACVR1C_ACVR2B_CFC1
Gdf1	ACVR1B_ACVR2A_CFC1
Gdf1	ACVR1B_ACVR2B_CFC1
Gdf1	ACVR1C_ACVR2A_CFC1
Gdf1	ACVR1C_ACVR2B_CFC1
Gdf3	ACVR1B_ACVR2A_CFC1
Gdf3	ACVR1B_ACVR2B_CFC1
Gdf3	ACVR1C_ACVR2A_CFC1
Gdf3	ACVR1C_ACVR2B_CFC1
Inhba	ACVR1B_ACVR2A
Inhba	ACVR1B_ACVR2B
Inhbb	ACVR1B_ACVR2A
Inhbb	ACVR1B_ACVR2B
Inhbb	ACVR1C_ACVR2A
Inhbb	ACVR1C_ACVR2B
Inhbc	ACVR1B_ACVR2A
Inhbc	ACVR1B_ACVR2B
Inhbc	ACVR1C_ACVR2A
Inhbc	ACVR1C_ACVR2B
Inhbe	ACVR1B_ACVR2A
Inhbe	ACVR1B_ACVR2B
Inhbe	ACVR1C_ACVR2A
Inhbe	ACVR1C_ACVR2B
ActivinAB	ACVR1B_ACVR2A
ActivinAB	ACVR1B_ACVR2B
ActivinAB	ACVR1C_ACVR2A
ActivinAB	ACVR1C_ACVR2B
InhibinA	Acvr2a
InhibinB	Acvr2b
Wnt1	FZD1_LRP5
Wnt1	FZD10_LRP5
Wnt1	FZD2_LRP5
Wnt1	FZD3_LRP5
Wnt1	FZD4_LRP5
Wnt1	FZD5_LRP5
Wnt1	FZD6_LRP5
Wnt1	FZD7_LRP5
Wnt1	FZD8_LRP5
Wnt1	FZD9_LRP5
Wnt10a	FZD1_LRP5
Wnt10a	FZD10_LRP5
Wnt10a	FZD2_LRP5
Wnt10a	FZD3_LRP5
Wnt10a	FZD4_LRP5
Wnt10a	FZD5_LRP5
Wnt10a	FZD6_LRP5
Wnt10a	FZD7_LRP5
Wnt10a	FZD8_LRP5
Wnt10a	FZD9_LRP5
Wnt10b	FZD1_LRP5
Wnt10b	FZD10_LRP5
Wnt10b	FZD2_LRP5
Wnt10b	FZD3_LRP5
Wnt10b	FZD4_LRP5
Wnt10b	FZD5_LRP5
Wnt10b	FZD6_LRP5
Wnt10b	FZD7_LRP5
Wnt10b	FZD8_LRP5
Wnt10b	FZD9_LRP5
Wnt16	FZD1_LRP5
Wnt16	FZD10_LRP5
Wnt16	FZD2_LRP5
Wnt16	FZD3_LRP5
Wnt16	FZD4_LRP5
Wnt16	FZD5_LRP5
Wnt16	FZD6_LRP5
Wnt16	FZD7_LRP5
Wnt16	FZD8_LRP5
Wnt16	FZD9_LRP5
Wnt2	FZD1_LRP5
Wnt2	FZD10_LRP5
Wnt2	FZD2_LRP5
Wnt2	FZD3_LRP5
Wnt2	FZD4_LRP5
Wnt2	FZD5_LRP5
Wnt2	FZD6_LRP5
Wnt2	FZD7_LRP5
Wnt2	FZD8_LRP5
Wnt2	FZD9_LRP5
Wnt2b	FZD1_LRP5
Wnt2b	FZD10_LRP5
Wnt2b	FZD2_LRP5
Wnt2b	FZD3_LRP5
Wnt2b	FZD4_LRP5
Wnt2b	FZD5_LRP5
Wnt2b	FZD6_LRP5
Wnt2b	FZD7_LRP5
Wnt2b	FZD8_LRP5
Wnt2b	FZD9_LRP5
Wnt3	FZD1_LRP5
Wnt3	FZD10_LRP5
Wnt3	FZD2_LRP5
Wnt3	FZD3_LRP5
Wnt3	FZD4_LRP5
Wnt3	FZD5_LRP5
Wnt3	FZD6_LRP5
Wnt3	FZD7_LRP5
Wnt3	FZD8_LRP5
Wnt3	FZD9_LRP5
Wnt3a	FZD1_LRP5
Wnt3a	FZD10_LRP5
Wnt3a	FZD2_LRP5
Wnt3a	FZD3_LRP5
Wnt3a	FZD4_LRP5
Wnt3a	FZD5_LRP5
Wnt3a	FZD6_LRP5
Wnt3a	FZD7_LRP5
Wnt3a	FZD8_LRP5
